seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	23191368	23191387	20	*	X00759	100422914	23189652	23189719	68	-	1648	upstream	1648	MIR4253
chr1	23752778	23752942	165	*	X00778	6920	23707555	23751261	43707	-	1516	upstream	1516	TCEA3
chr1	24105881	24105950	70	*	X00808	100506963	24086872	24104787	17916	-	1093	upstream	1093	ELOA-AS1
chr1	26879267	26879401	135	*	X00885	100302190	26881033	26881084	52	+	1631	upstream	1631	MIR1976
chr1	26879627	26879686	60	*	X00886	100302190	26881033	26881084	52	+	1346	upstream	1346	MIR1976
chr1	26880086	26880220	135	*	X00887	100302190	26881033	26881084	52	+	812	upstream	812	MIR1976
chr1	27217341	27217405	65	*	X00905	54707	27205873	27216869	10997	-	471	upstream	471	GPN2
chr1	28907948	28907950	3	*	X00992	677838	28906276	28906405	130	-	1542	upstream	1542	SNORA61
chr1	28907948	28907950	3	*	X00992	677825	28906893	28907024	132	-	923	upstream	923	SNORA44
chr1	28907948	28907950	3	*	X00992	692073	28907432	28907565	134	-	382	upstream	382	SNORA16A
chr1	31442171	31442320	150	*	X01031	692200	31441010	31441084	75	-	1086	upstream	1086	SNORD103C
chr1	32669399	32669473	75	*	X01065	55721	32671236	32674288	3053	+	1762	upstream	1762	IQCC
chr1	32672740	32672859	120	*	X01066	149069	32674695	32681797	7103	+	1835	upstream	1835	DCDC2B
chr1	32686589	32686693	105	*	X01070	8668	32687185	32697205	10021	+	491	upstream	491	EIF3I
chr1	32827426	32827444	19	*	X01077	81629	32827862	32829924	2063	+	417	upstream	417	TSSK3
chr1	36025194	36025433	240	*	X01138	79932	35899091	36023551	124461	-	1642	upstream	1642	KIAA0319L
chr1	36184750	36184869	120	*	X01149	127703	36179477	36184790	5314	-	0	overlapStart	0	C1orf216
chr1	36623337	36623501	165	*	X01161	27095	36602170	36621654	19485	-	1682	upstream	1682	TRAPPC3
chr1	36770716	36770805	90	*	X01173	79729	36771994	36790484	18491	+	1188	upstream	1188	SH3D21
chr1	38275607	38275786	180	*	X01203	79693	38268614	38273865	5252	-	1741	upstream	1741	YRDC
chr1	40025142	40025282	141	*	X01243	728448	39987952	40025370	37419	-	0	inside	87	PPIEL
chr1	41480540	41480659	120	*	X01274	100507178	41480262	41509562	29301	+	0	inside	277	SLFNL1-AS1
chr1	44170772	44171056	285	*	X01361	6487	44171495	44396837	225343	+	438	upstream	438	ST3GAL3
chr1	44444316	44444369	54	*	X01366	8704	44444874	44456843	11970	+	504	upstream	504	B4GALT2
chr1	46089772	46089861	90	*	X01423	149483	46085716	46089731	4016	-	40	upstream	40	CCDC17
chr1	47138927	47139020	94	*	X01451	100130197	47139708	47157769	18062	+	687	upstream	687	EFCAB14-AS1
chr1	70673330	70673419	90	*	X01612	55631	70610485	70671361	60877	-	1968	upstream	1968	LRRC40
chr1	101493140	101493145	6	*	X01707	51611	101455180	101491644	36465	-	1495	upstream	1495	DPH5
chr1	110035103	110035174	72	*	X01741	284613	110036658	110043063	6406	+	1483	upstream	1483	CYB561D1
chr1	151139368	151139448	81	*	X01932	388695	151132224	151138424	6201	-	943	upstream	943	LYSMD1
chr1	153919615	153919711	97	*	X02004	9909	153901977	153919154	17178	-	460	upstream	460	DENND4B
chr1	153920522	153920626	105	*	X02005	9909	153901977	153919154	17178	-	1367	upstream	1367	DENND4B
chr1	153931783	153931891	109	*	X02012	200186	153920148	153931132	10985	-	650	upstream	650	CRTC2
chr1	154178655	154178744	90	*	X02016	388701	154171562	154178841	7280	-	0	inside	96	C1orf189
chr1	154935838	154935972	135	*	X02042	90780	154929502	154934258	4757	-	1579	upstream	1579	PYGO2
chr1	154965273	154965362	90	*	X02047	55891	154966062	154966791	730	+	699	upstream	699	LENEP
chr1	155208092	155208144	53	*	X02063	2630	155183616	155208441	24826	-	0	inside	296	GBAP1
chr1	155209829	155209910	82	*	X02064	2630	155183616	155208441	24826	-	1387	upstream	1387	GBAP1
chr1	155216474	155216578	105	*	X02065	2629	155204239	155214653	10415	-	1820	upstream	1820	GBA
chr1	155226176	155226295	120	*	X02069	10712	155216996	155225274	8279	-	901	upstream	901	FAM189B
chr1	155227184	155227318	135	*	X02070	10712	155216996	155225274	8279	-	1909	upstream	1909	FAM189B
chr1	155289489	155289608	120	*	X02078	23623	155290640	155300909	10270	+	1031	upstream	1031	RUSC1
chr1	156712648	156712842	195	*	X02162	79590	156707094	156710923	3830	-	1724	upstream	1724	MRPL24
chr1	156906910	156906999	90	*	X02174	768220	156905923	156906036	114	-	873	upstream	873	MIR765
chr1	156907850	156907902	53	*	X02175	768220	156905923	156906036	114	-	1813	upstream	1813	MIR765
chr1	157096453	157096587	135	*	X02185	360155	157098154	157098463	310	+	1566	upstream	1566	CYCSP52
chr1	157096603	157096902	300	*	X02186	360155	157098154	157098463	310	+	1251	upstream	1251	CYCSP52
chr1	161008499	161008738	240	*	X02215	100131187	161007422	161008774	1353	-	0	inside	35	TSTD1
chr1	161008499	161008738	240	*	X02215	50848	160965001	161008774	43774	-	0	inside	35	F11R
chr1	161008844	161008978	135	*	X02216	100131187	161007422	161008774	1353	-	69	upstream	69	TSTD1
chr1	161008844	161008978	135	*	X02216	50848	160965001	161008774	43774	-	69	upstream	69	F11R
chr1	161128720	161128839	120	*	X02219	27005	161129254	161135516	6263	+	414	upstream	414	USP21
chr1	168216461	168216547	87	*	X02264	84832	168214819	168216668	1850	-	0	inside	120	ANKRD36BP1
chr1	173963207	173963268	62	*	X02289	149041	173900352	173962210	61859	-	996	upstream	996	RC3H1
chr1	201687431	201687524	94	*	X02379	100847050	201688636	201688755	120	+	1111	upstream	1111	MIR5191
chr1	207976998	207977162	165	*	X02463	407026	207975197	207975868	672	-	1129	upstream	1129	MIR29C
chr1	207991153	207991272	120	*	X02469	148696	207991724	207995941	4218	+	451	upstream	451	LOC148696
chr1	207991938	207992072	135	*	X02470	148696	207991724	207995941	4218	+	0	inside	213	LOC148696
chr1	228282957	228283091	135	*	X02640	100500810	228284964	228285042	79	+	1872	upstream	1872	MIR3620
chr1	228284682	228284801	120	*	X02641	100500810	228284964	228285042	79	+	162	upstream	162	MIR3620
chr1	228284967	228285086	120	*	X02642	100500810	228284964	228285042	79	+	0	overlapEnd	2	MIR3620
chr1	228335482	228335616	135	*	X02652	57165	228337415	228347527	10113	+	1798	upstream	1798	GJC2
chr1	228336232	228336336	105	*	X02653	57165	228337415	228347527	10113	+	1078	upstream	1078	GJC2
chr1	231155853	231155972	120	*	X02686	100302132	231155574	231155670	97	-	182	upstream	182	MIR1182
chr10	75540024	75540113	90	*	X03194	118487	75541808	75543406	1599	+	1694	upstream	1694	CHCHD1
chr10	77159779	77159808	30	*	X03234	100131213	77161286	77168740	7455	+	1477	upstream	1477	ZNF503-AS2
chr10	77160259	77160378	120	*	X03235	100131213	77161286	77168740	7455	+	907	upstream	907	ZNF503-AS2
chr10	91352728	91352832	105	*	X03329	406901	91352504	91352584	81	-	143	upstream	143	MIR107
chr10	94819815	94819934	120	*	X03355	340665	94821021	94828454	7434	+	1086	upstream	1086	CYP26C1
chr10	99330213	99330332	120	*	X03394	26287	99332256	99343641	11386	+	1923	upstream	1923	ANKRD2
chr10	101998680	101998784	105	*	X03424	677800	101996913	101997059	147	-	1620	upstream	1620	SNORA12
chr10	102748441	102748465	25	*	X03450	84545	102737579	102747272	9694	-	1168	upstream	1168	MRPL43
chr10	103541889	103542068	180	*	X03467	2253	103529887	103540126	10240	-	1762	upstream	1762	FGF8
chr10	103542080	103542229	150	*	X03468	2253	103529887	103540126	10240	-	1953	upstream	1953	FGF8
chr10	103544034	103544198	165	*	X03469	10360	103541082	103543170	2089	-	863	upstream	863	NPM3
chr10	105154431	105154459	29	*	X03535	100302174	105154010	105154158	149	-	272	upstream	272	MIR1307
chr10	105154431	105154459	29	*	X03535	22984	105156412	105206019	49608	+	1952	upstream	1952	PDCD11
chr10	135126925	135126988	64	*	X03720	10844	135092134	135125841	33708	-	1083	upstream	1083	TUBGCP2
chr11	562725	562844	120	*	X03774	256329	554850	560779	5930	-	1945	upstream	1945	LMNTD2
chr11	617900	617922	23	*	X03785	3665	612555	615999	3445	-	1900	upstream	1900	IRF7
chr11	779334	779438	105	*	X03803	347862	767223	777487	10265	-	1846	upstream	1846	GATD1
chr11	779334	779438	105	*	X03803	171391	779454	780755	1302	+	15	upstream	15	LOC171391
chr11	791772	791906	135	*	X03807	51286	787110	790126	3017	-	1645	upstream	1645	CEND1
chr11	799052	799126	75	*	X03811	79751	790475	798269	7795	-	782	upstream	782	SLC25A22
chr11	824169	824348	180	*	X03824	283229	826157	831991	5835	+	1808	upstream	1808	CRACR2B
chr11	824638	824877	240	*	X03825	283229	826157	831991	5835	+	1279	upstream	1279	CRACR2B
chr11	824938	825132	195	*	X03826	283229	826157	831991	5835	+	1024	upstream	1024	CRACR2B
chr11	825328	825477	150	*	X03827	283229	826157	831991	5835	+	679	upstream	679	CRACR2B
chr11	1329476	1329565	90	*	X03894	255512	1330938	1331937	1000	+	1372	upstream	1372	TOLLIP-AS1
chr11	2420003	2420074	72	*	X03943	10078	2421718	2425106	3389	+	1643	upstream	1643	TSSC4
chr11	6226731	6226835	105	*	X03976	160298	6226798	6232365	5568	+	0	overlapStart	0	C11orf42
chr11	6504510	6504614	105	*	X03994	23647	6495913	6502709	6797	-	1800	upstream	1800	ARFIP2
chr11	10877751	10877885	135	*	X04031	729013	10879764	10900823	21060	+	1878	upstream	1878	ZBED5-AS1
chr11	46396216	46396350	135	*	X04178	100616368	46397952	46398034	83	+	1601	upstream	1601	MIR4688
chr11	46397732	46397851	120	*	X04179	100616368	46397952	46398034	83	+	100	upstream	100	MIR4688
chr11	47200597	47200716	120	*	X04213	84364	47185849	47198676	12828	-	1920	upstream	1920	ARFGAP2
chr11	59362538	59362612	75	*	X04281	100422880	59362550	59362631	82	-	0	overlapEnd	18	MIR3162
chr11	62360766	62360851	86	*	X04359	64852	62342517	62359109	16593	-	1656	upstream	1656	TUT1
chr11	62360969	62361023	55	*	X04360	64852	62342517	62359109	16593	-	1859	upstream	1859	TUT1
chr11	62370549	62370623	75	*	X04367	9219	62360675	62369312	8638	-	1236	upstream	1236	MTA2
chr11	62371178	62371178	1	*	X04368	9219	62360675	62369312	8638	-	1865	upstream	1865	MTA2
chr11	62371254	62371373	120	*	X04369	9219	62360675	62369312	8638	-	1941	upstream	1941	MTA2
chr11	62432970	62432973	4	*	X04379	751071	62432779	62435954	3176	+	0	inside	190	CSKMT
chr11	62432970	62432973	4	*	X04379	692158	62432894	62433042	149	+	0	inside	75	SNORA57
chr11	62473178	62473297	120	*	X04382	2785	62475066	62476678	1613	+	1768	upstream	1768	GNG3
chr11	62474453	62474542	90	*	X04383	2785	62475066	62476678	1613	+	523	upstream	523	GNG3
chr11	62476934	62477053	120	*	X04384	26580	62457734	62477091	19358	-	0	inside	37	BSCL2
chr11	62560950	62560994	45	*	X04392	79064	62557787	62559486	1700	-	1463	upstream	1463	TMEM223
chr11	62574798	62574878	81	*	X04395	10482	62559598	62572964	13367	-	1833	upstream	1833	NXF1
chr11	63973196	63973315	120	*	X04426	83706	63974152	63991363	17212	+	836	upstream	836	FERMT3
chr11	63991958	63992077	120	*	X04430	84304	63993730	63997488	3759	+	1652	upstream	1652	NUDT22
chr11	64083482	64083586	105	*	X04457	25824	64085560	64089295	3736	+	1973	upstream	1973	PRDX5
chr11	64135722	64135870	149	*	X04466	100302280	64136074	64136175	102	+	203	upstream	203	MIR1237
chr11	64886338	64886442	105	*	X04508	741	64883875	64885170	1296	-	1167	upstream	1167	ZNHIT2
chr11	64887703	64887807	105	*	X04509	740	64889655	64894841	5187	+	1847	upstream	1847	MRPL49
chr11	64979510	64979601	92	*	X04533	440044	64981311	65010228	28918	+	1709	upstream	1709	SLC22A20P
chr11	65190416	65190648	233	*	X04555	283131	65190269	65212028	21760	+	0	inside	146	NEAT1
chr11	65342700	65342789	90	*	X04584	254102	65343509	65360116	16608	+	719	upstream	719	EHBP1L1
chr11	65402894	65402983	90	*	X04606	100616292	65403781	65403840	60	+	797	upstream	797	MIR4690
chr11	65404139	65404258	120	*	X04607	6494	65405578	65418391	12814	+	1319	upstream	1319	SIPA1
chr11	65416648	65416713	66	*	X04610	100616284	65416663	65416724	62	+	0	overlapStart	0	MIR4489
chr11	65770886	65770993	108	*	X04642	84285	65764016	65769637	5622	-	1248	upstream	1248	EIF1AD
chr11	65771439	65771539	101	*	X04643	84285	65764016	65769637	5622	-	1801	upstream	1801	EIF1AD
chr11	66034409	66034498	90	*	X04662	81876	66036056	66044963	8908	+	1557	upstream	1557	RAB1B
chr11	66034679	66034700	22	*	X04663	81876	66036056	66044963	8908	+	1355	upstream	1355	RAB1B
chr11	66043889	66044068	180	*	X04667	254263	66045672	66051685	6014	+	1603	upstream	1603	CNIH2
chr11	66105714	66105983	270	*	X04671	9610	66099542	66104311	4770	-	1402	upstream	1402	RIN1
chr11	67205163	67205237	75	*	X04759	5790	67202981	67205153	2173	-	9	upstream	9	PTPRCAP
chr11	67205687	67205851	165	*	X04760	5790	67202981	67205153	2173	-	533	upstream	533	PTPRCAP
chr11	67205958	67206047	90	*	X04761	5790	67202981	67205153	2173	-	804	upstream	804	PTPRCAP
chr11	67274205	67274294	90	*	X04784	9600	67259239	67272843	13605	-	1361	upstream	1361	PITPNM1
chr11	67274465	67274579	115	*	X04785	9600	67259239	67272843	13605	-	1621	upstream	1621	PITPNM1
chr11	67800463	67800582	120	*	X04798	100616403	67801364	67801448	85	+	781	upstream	781	MIR4691
chr11	67800673	67800792	120	*	X04799	100616403	67801364	67801448	85	+	571	upstream	571	MIR4691
chr11	70129867	70129956	90	*	X04877	100313770	70130061	70130176	116	+	104	upstream	104	MIR548K
chr11	93454895	93455014	120	*	X05032	619383	93454680	93455032	353	+	0	inside	214	SCARNA9
chr11	118887256	118887390	135	*	X05204	51399	118889241	118894385	5145	+	1850	upstream	1850	TRAPPC4
chr12	2988139	2988145	7	*	X05328	2305	2966847	2986321	19475	-	1817	upstream	1817	FOXM1
chr12	6604113	6604241	129	*	X05359	51258	6601316	6602471	1156	-	1641	upstream	1641	MRPL51
chr12	6692326	6692415	90	*	X05375	677780	6690639	6690775	137	-	1550	upstream	1550	SCARNA11
chr12	6878586	6878599	14	*	X05392	8079	6857158	6876641	19484	-	1944	upstream	1944	MLF2
chr12	6879620	6879739	120	*	X05395	3902	6881670	6887621	5952	+	1930	upstream	1930	LAG3
chr12	6879818	6879967	150	*	X05396	3902	6881670	6887621	5952	+	1702	upstream	1702	LAG3
chr12	6879995	6880099	105	*	X05397	3902	6881670	6887621	5952	+	1570	upstream	1570	LAG3
chr12	6975404	6975639	236	*	X05413	7167	6976584	6980110	3527	+	944	upstream	944	TPI1
chr12	7032571	7032675	105	*	X05421	1822	7033626	7053815	20190	+	950	upstream	950	ATN1
chr12	7050256	7050360	105	*	X05427	113246	7052141	7055165	3025	+	1780	upstream	1780	C12orf57
chr12	7051129	7051199	71	*	X05428	113246	7052141	7055165	3025	+	941	upstream	941	C12orf57
chr12	7077195	7077299	105	*	X05430	677777	7076500	7076769	270	-	425	upstream	425	SCARNA12
chr12	49165903	49166037	135	*	X05596	100616262	49165758	49165820	63	-	82	upstream	82	MIR4701
chr12	49167449	49167568	120	*	X05597	100616262	49165758	49165820	63	-	1628	upstream	1628	MIR4701
chr12	49414474	49414547	74	*	X05615	5571	49396055	49412629	16575	-	1844	upstream	1844	PRKAG1
chr12	53343983	53344033	51	*	X05714	3856	53290971	53343650	52680	-	332	upstream	332	KRT8
chr12	53449315	53449341	27	*	X05717	283335	53436973	53448222	11250	-	1092	upstream	1092	LOC283335
chr12	53901202	53901351	150	*	X05752	8620	53900474	53901422	949	-	0	inside	70	NPFF
chr12	53905882	53906031	150	*	X05753	100652999	53907768	53911392	3625	+	1736	upstream	1736	LOC100652999
chr12	53907187	53907291	105	*	X05754	100652999	53907768	53911392	3625	+	476	upstream	476	LOC100652999
chr12	54450053	54450142	90	*	X05764	440101	54452038	54516018	63981	+	1895	upstream	1895	FLJ12825
chr12	54451998	54452115	118	*	X05765	440101	54452038	54516018	63981	+	0	overlapStart	0	FLJ12825
chr12	56361588	56361666	79	*	X05812	6490	56347889	56360496	12608	-	1091	upstream	1091	PMEL
chr12	56366587	56366706	120	*	X05816	5869	56367697	56390467	22771	+	990	upstream	990	RAB5B
chr12	56510777	56510881	105	*	X05831	84872	56512030	56516278	4249	+	1148	upstream	1148	ZC3H10
chr12	56622780	56622795	16	*	X05848	283375	56623820	56631629	7810	+	1024	upstream	1024	SLC39A5
chr12	58002974	58003198	225	*	X05972	115557	58003963	58011028	7066	+	764	upstream	764	ARHGEF25
chr12	58003257	58003293	37	*	X05973	115557	58003963	58011028	7066	+	669	upstream	669	ARHGEF25
chr12	58011906	58011920	15	*	X05978	65012	58013693	58019934	6242	+	1772	upstream	1772	SLC26A10
chr12	58164478	58164597	120	*	X05996	25895	58166383	58176324	9942	+	1785	upstream	1785	EEF1AKMT3
chr12	58219622	58219741	120	*	X06002	407016	58218392	58218475	84	-	1146	upstream	1146	MIR26A2
chr12	58219907	58220011	105	*	X06003	407016	58218392	58218475	84	-	1431	upstream	1431	MIR26A2
chr12	100566922	100567011	90	*	X06082	55592	100550175	100567121	16947	-	0	inside	109	GOLGA2P5
chr12	102132922	102132981	60	*	X06093	50511	102122426	102133250	10825	-	0	inside	268	SYCP3
chr12	104697439	104697558	120	*	X06114	493861	104697510	104698982	1473	+	0	overlapStart	0	EID3
chr12	120594421	120594510	90	*	X06355	100616179	120593238	120593303	66	-	1117	upstream	1117	MIR4498
chr12	123463093	123463211	119	*	X06482	51329	123464880	123467460	2581	+	1668	upstream	1668	ARL6IP4
chr12	125398505	125398669	165	*	X06586	100847004	125400093	125400205	113	+	1423	upstream	1423	MIR5188
chr12	125398760	125398995	236	*	X06587	100847004	125400093	125400205	113	+	1097	upstream	1097	MIR5188
chr12	132627556	132627577	22	*	X06676	79050	132628993	132636986	7994	+	1415	upstream	1415	NOC4L
chr12	132630679	132630735	57	*	X06677	317781	132621140	132628880	7741	-	1798	upstream	1798	DDX51
chr13	77649807	77649896	90	*	X06932	100874212	77649649	77661911	12263	+	0	inside	157	MYCBP2-AS1
chr13	100007711	100007800	90	*	X06978	693208	100008385	100008482	98	+	584	upstream	584	MIR623
chr14	21853975	21854124	150	*	X07125	11198	21819631	21852425	32795	-	1549	upstream	1549	SUPT16H
chr14	23528137	23528241	105	*	X07148	64403	23516270	23526747	10478	-	1389	upstream	1389	CDH24
chr14	24629242	24629391	150	*	X07192	10379	24629729	24635774	6046	+	337	upstream	337	IRF9
chr14	24779086	24779220	135	*	X07206	56413	24779357	24781259	1903	+	136	upstream	136	LTB4R2
chr14	24779086	24779220	135	*	X07206	1241	24780705	24787242	6538	+	1484	upstream	1484	LTB4R
chr14	24780871	24780875	5	*	X07207	1241	24780705	24787242	6538	+	0	inside	165	LTB4R
chr14	24780871	24780875	5	*	X07207	27141	24774393	24780576	6184	-	294	upstream	294	CIDEB
chr14	24780916	24781005	90	*	X07208	1241	24780705	24787242	6538	+	0	inside	210	LTB4R
chr14	24780916	24781005	90	*	X07208	27141	24774393	24780576	6184	-	339	upstream	339	CIDEB
chr14	50780558	50780632	75	*	X07285	79944	50704285	50778947	74663	-	1610	upstream	1610	L2HGDH
chr14	59932363	59932408	46	*	X07354	64582	59930240	59932059	1820	-	303	upstream	303	GPR135
chr14	77890247	77890366	120	*	X07570	122945	77860365	77889399	29035	-	847	upstream	847	NOXRED1
chr15	34634327	34634361	35	*	X07947	256646	34635516	34649931	14416	+	1154	upstream	1154	NUTM1
chr15	42839131	42839265	135	*	X08045	55142	42841011	42862190	21180	+	1745	upstream	1745	HAUS2
chr15	44087238	44087357	120	*	X08076	100302254	44085857	44085957	101	-	1280	upstream	1280	MIR1282
chr15	44091072	44091161	90	*	X08079	25764	44091556	44095241	3686	+	394	upstream	394	HYPK
chr15	44091072	44091161	90	*	X08079	80237	44064798	44091335	26538	-	0	inside	173	ELL3
chr15	45801843	45801939	97	*	X08102	283651	45803334	45848928	45595	+	1394	upstream	1394	HMGN2P46
chr15	52569459	52569578	120	*	X08135	100302202	52569314	52569397	84	-	61	upstream	61	MIR1266
chr15	68500044	68500133	90	*	X08272	91860	68483043	68498448	15406	-	1595	upstream	1595	CALML4
chr15	68500310	68500349	40	*	X08273	91860	68483043	68498448	15406	-	1861	upstream	1861	CALML4
chr15	70371700	70371819	120	*	X08301	693214	70371711	70371807	97	-	0	includeFeature	0	MIR629
chr15	72878682	72878801	120	*	X08333	693215	72879558	72879654	97	+	756	upstream	756	MIR630
chr15	75136617	75136631	15	*	X08386	25989	75128459	75135552	7094	-	1064	upstream	1064	ULK3
chr15	75647640	75647864	225	*	X08400	693216	75645952	75646026	75	-	1613	upstream	1613	MIR631
chr15	90775392	90775511	120	*	X08580	390637	90777487	90785312	7826	+	1975	upstream	1975	GDPGP1
chr15	91508549	91508653	105	*	X08608	100507118	91509599	91531854	22256	+	945	upstream	945	PRC1-AS1
chr16	421443	421492	50	*	X08732	10573	417384	420569	3186	-	873	upstream	873	MRPL28
chr16	450280	450504	225	*	X08739	26063	451858	462487	10630	+	1353	upstream	1353	DECR2
chr16	584441	584530	90	*	X08752	100847028	585316	585368	53	+	785	upstream	785	MIR5587
chr16	591351	591545	195	*	X08756	100423037	593277	593366	90	+	1731	upstream	1731	MIR3176
chr16	724566	724670	105	*	X08776	9028	725706	728267	2562	+	1035	upstream	1035	RHBDL1
chr16	734988	735005	18	*	X08778	339123	731667	734439	2773	-	548	upstream	548	JMJD8
chr16	735574	735693	120	*	X08779	339123	731667	734439	2773	-	1134	upstream	1134	JMJD8
chr16	735754	735873	120	*	X08780	339123	731667	734439	2773	-	1314	upstream	1314	JMJD8
chr16	735981	736085	105	*	X08781	339123	731667	734439	2773	-	1541	upstream	1541	JMJD8
chr16	836885	836993	109	*	X08788	63922	838622	848074	9453	+	1628	upstream	1628	CHTF18
chr16	839960	840079	120	*	X08789	113000	834974	838383	3410	-	1576	upstream	1576	RPUSD1
chr16	840269	840358	90	*	X08790	113000	834974	838383	3410	-	1885	upstream	1885	RPUSD1
chr16	1399939	1400043	105	*	X08807	84572	1401900	1413352	11453	+	1856	upstream	1856	GNPTG
chr16	1822744	1822751	8	*	X08873	197342	1823229	1826340	3112	+	477	upstream	477	EME2
chr16	1822744	1822751	8	*	X08873	4832	1820321	1821710	1390	-	1033	upstream	1033	NME3
chr16	2013526	2013645	120	*	X08893	574042	2012335	2012467	133	-	1058	upstream	1058	SNORA10
chr16	2013526	2013645	120	*	X08893	26784	2012974	2013107	134	-	418	upstream	418	SNORA64
chr16	2013526	2013645	120	*	X08893	735301	2014997	2015505	509	+	1351	upstream	1351	SNHG9
chr16	2013526	2013645	120	*	X08893	677844	2015185	2015311	127	+	1539	upstream	1539	SNORA78
chr16	2141456	2141544	89	*	X08928	100188847	2140196	2140285	90	-	1170	upstream	1170	MIR1225
chr16	2141710	2141829	120	*	X08929	100188847	2140196	2140285	90	-	1424	upstream	1424	MIR1225
chr16	2569757	2569827	71	*	X08972	51005	2570363	2580955	10593	+	535	upstream	535	AMDHD2
chr16	3166533	3166667	135	*	X09018	81854	3160461	3165599	5139	-	933	upstream	933	ZNF205-AS1
chr16	4854276	4854380	105	*	X09138	79641	4846963	4852951	5989	-	1324	upstream	1324	ROGDI
chr16	4895400	4895519	120	*	X09146	29855	4896666	4932363	35698	+	1146	upstream	1146	UBN1
chr16	29822229	29822261	33	*	X09414	112476	29823409	29827202	3794	+	1147	upstream	1147	PRRT2
chr16	29832009	29832098	90	*	X09415	9961	29831715	29859360	27646	+	0	inside	293	MVP
chr16	30125629	30125733	105	*	X09455	79153	30116131	30124878	8748	-	750	upstream	750	GDPD3
chr16	30125906	30125958	53	*	X09456	79153	30116131	30124878	8748	-	1027	upstream	1027	GDPD3
chr16	30367936	30368055	120	*	X09461	10421	30362087	30366682	4596	-	1253	upstream	1253	CD2BP2
chr16	30368281	30368400	120	*	X09462	10421	30362087	30366682	4596	-	1598	upstream	1598	CD2BP2
chr16	30721983	30722117	135	*	X09486	677813	30721858	30721986	129	+	0	overlapEnd	124	SNORA30
chr16	30748427	30748546	120	*	X09493	100862671	30748370	30756517	8148	+	0	inside	56	TMEM265
chr16	30903268	30903402	135	*	X09508	100313837	30905224	30905306	83	+	1821	upstream	1821	MIR762
chr16	30904086	30904179	94	*	X09509	100313837	30905224	30905306	83	+	1044	upstream	1044	MIR762
chr16	30936523	30936672	150	*	X09510	283932	30930640	30934590	3951	-	1932	upstream	1932	FBXL19-AS1
chr16	30958370	30958609	240	*	X09520	93129	30960405	30966259	5855	+	1795	upstream	1795	ORAI3
chr16	30958843	30958862	20	*	X09521	93129	30960405	30966259	5855	+	1542	upstream	1542	ORAI3
chr16	30959071	30959187	117	*	X09522	93129	30960405	30966259	5855	+	1217	upstream	1217	ORAI3
chr16	30959368	30959454	87	*	X09523	93129	30960405	30966259	5855	+	950	upstream	950	ORAI3
chr16	30995113	30995172	60	*	X09530	80270	30996519	31000473	3955	+	1346	upstream	1346	HSD3B7
chr16	30995291	30995470	180	*	X09531	80270	30996519	31000473	3955	+	1048	upstream	1048	HSD3B7
chr16	30996772	30996805	34	*	X09532	80270	30996519	31000473	3955	+	0	inside	252	HSD3B7
chr16	66600593	66600697	105	*	X09721	113540	66600294	66613038	12745	+	0	inside	298	CMTM1
